title,singers,directors,lyricist,genre,album,download_link,poster,year
Deh Shiva,['Arijit Singh'],"['Arijit Singh', ' MC Mawali', ' Kiraat Singh']",['Shloke Lal'],"['Filmi', ' Pop', ' Hip-hop']",Deh Shiva,https://www.youtube.com/watch?v=ebp3G09lqtU,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/9f/3d/1f/9f3d1f7d-2e70-3c9b-9e32-4df277d05eea/197189389214.jpg/200x200.jpg,2022
Englishwale Sab Khisko Dehati Disco,['Divya Kumar'],['Ganesh Acharya'],['Pranav Vatsa'],"['Filmi', ' Hindi Folk']",Dehati Disco,https://www.youtube.com/watch?v=c0XS502ku-Y,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/8b/9e/da/8b9edae7-1841-9943-6f26-15aef55601fe/8902894361453_cover.jpg/200x200.jpg,2022
Ooparwale Ke Hawale,['Nakul Abhyankar'],['Drums Shivamani'],['Pranav Vatsa'],"['Filmi', ' Sugam', ' Electronic']",Dehati Disco,https://www.youtube.com/watch?v=u7D3ma34oH0,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/8b/9e/da/8b9edae7-1841-9943-6f26-15aef55601fe/8902894361453_cover.jpg/200x200.jpg,2022
Gat Gat Gataa Gat Ghoont Maare Bhanga,['Bhanu Pandit'],['Drums Shivamani'],['Pranav Vatsa'],['Filmi'],Dehati Disco,https://www.youtube.com/watch?v=tUIl51coH1k,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/8b/9e/da/8b9edae7-1841-9943-6f26-15aef55601fe/8902894361453_cover.jpg/200x200.jpg,2022
Aghora,['Nakul Abhyankar'],['Drums Shivamani'],['Pranav Vatsa'],['Filmi'],Dehati Disco,https://www.youtube.com/watch?v=Gmrf31cAbSM,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/8b/9e/da/8b9edae7-1841-9943-6f26-15aef55601fe/8902894361453_cover.jpg/200x200.jpg,2022
Matth Maila,['Nakul Abhyankar'],['Drums Shivamani'],['Pranav Vatsa'],"['Filmi', ' Medley']",Dehati Disco,https://www.youtube.com/watch?v=FaYbXLaRUxc,https://is5-ssl.mzstatic.com/image/thumb/Music122/v4/8b/9e/da/8b9edae7-1841-9943-6f26-15aef55601fe/8902894361453_cover.jpg/200x200.jpg,2022
Naamonishan,"['Nikhita Gandhi', ' Shankar Mahadevan']",['Shankar - Ehsaan - Loy'],['Amitabh Bhattacharya'],"['Pop', ' Rock']",Dhaakad,https://www.youtube.com/watch?v=uR8P7Flfx4w,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/73/05/24/73052422-bf77-c7a3-5ad5-fa5e75399ace/8902357124021.png/200x200.jpg,2022
Babul,['Richa Sharma'],['Dhruv Ghanekar'],['Traditional'],"['Punjabi Folk', ' Electronic']",Dhaakad,https://www.youtube.com/watch?v=iaf_I0222Xs,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/73/05/24/73052422-bf77-c7a3-5ad5-fa5e75399ace/8902357124021.png/200x200.jpg,2022
So Ja Re Nanhi So Ja Re,"['Sunidhi Chauhan', ' Hariharan']",['Dhruv Ghanekar'],['Ishitta Arun'],['Filmi'],Dhaakad,https://www.youtube.com/watch?v=hcpXpiDYlEQ,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/73/05/24/73052422-bf77-c7a3-5ad5-fa5e75399ace/8902357124021.png/200x200.jpg,2022
Dhaakad Tu Hai Dhaakad,['Vasundhara Vee'],['Dhruv Ghanekar'],['Ishitta Arun'],"['Pop', ' Rock']",Dhaakad,https://www.youtube.com/watch?v=xykS4GOmXXU,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/73/05/24/73052422-bf77-c7a3-5ad5-fa5e75399ace/8902357124021.png/200x200.jpg,2022
